permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2020-00465,2020-03-12,80000,Addition / Alteration,Randhill Construction Ltd,Dwelling Uses,2020, V6N 2J9
BP-2019-04214,2020-03-16,4850000,Addition / Alteration,Fusion Project Management Ltd,"Institutional Uses,Retail Uses",2020, V6Z 1N2
BP-2020-00733,2020-03-16,50000,Addition / Alteration,API International Investment Inc.,Dwelling Uses,2020, V5Y 2V8
DB-2019-04231,2020-03-16,981000,New Building,Ozla Development Ltd,Dwelling Uses,2020, V5W 1K7
BP-2019-03210,2020-03-18,15000,Demolition / Deconstruction,Mash Construction Ltd.,Dwelling Uses,2020, V6L 1X5
BP-2020-00854,2020-03-18,50000,Addition / Alteration,Priority Projects,Office Uses,2020, V6C 3E8
DB-2020-00869,2020-03-20,60000,Addition / Alteration,Meypro Construction 2008 Ltd,Dwelling Uses,2020, V6S 1Z7
BP-2020-00022,2020-03-23,10000,Addition / Alteration,Coastline Projects Ltd,Dwelling Uses,2020, V6N 3J9
DB-2019-04422,2020-03-23,705500,New Building,Reid Developments Ltd,Dwelling Uses,2020, V6S 1J2
DB-2019-04659,2020-03-23,50000,Addition / Alteration,Sensible Repairs Ltd,"Live-Work Uses,Office Uses,Retail Uses",2020, V6A 0A5
DB-2019-05049,2020-03-23,822500,New Building,Astec Development Ltd,Dwelling Uses,2020, V5P 3B7
DB-2019-04820,2020-03-30,704500,New Building,Maxim Development Group (Canada) Inc,Dwelling Uses,2020, V5X 1N6
BP-2020-00772,2020-04-06,15000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2020, V6B 4Z9
BP-2020-00947,2020-04-06,40000,Addition / Alteration,CDC Construction Ltd,Office Uses,2020, V6E 4M1
DB-2019-02893,2020-04-07,149877.5,New Building,Unique-Style Homes Ltd,Dwelling Uses,2020, V5M 2V3
DB-2020-00498,2020-04-07,25000,Addition / Alteration,Pang Law,Dwelling Uses,2020, V5M 1N8
BP-2019-00837,2020-04-09,7500000,New Building,Allaire Construction Inc,Dwelling Uses,2020, V6P 4A5
DB-2019-05179,2020-04-09,1081500,New Building,Onyx Projects Ltd,Dwelling Uses,2020, V6L 1S7
BP-2020-00407,2020-04-14,15000,Demolition / Deconstruction,AKAL DEMOLITION & EXCAVATING LTD,Dwelling Uses,2020, V5N 3G1
DB-2019-00175,2020-04-14,223135,New Building,HANEX DEVELOPMENTS LTD,Dwelling Uses,2020, V6N 4H8
DB-2019-04849,2020-04-14,15000,Demolition / Deconstruction,BESTWAY EXCAVATING & DEMOLITION 2008 LTD,Dwelling Uses,2020, V6M 3A1
BP-2019-05778,2020-04-15,244000,Demolition / Deconstruction,A & D Demolition Corp,Manufacturing Uses,2020, V5N 2P6
DB-2019-03412,2020-04-15,235000,New Building,Citrine Homes Ltd,Dwelling Uses,2020, V6P 5G3
BP-2019-01588,2019-05-13,65000,Addition / Alteration,Canadian Constructors International Ltd,Dwelling Uses,2019, V6G 2A6
BP-2019-01609,2019-05-14,30000,Addition / Alteration,Griffin Restoration Services Inc,Dwelling Uses,2019, V6G 1H2
